# Synthetic layer model of sediments and topography
#   lon   lat   height   thickness   density
-10 30 800 800.002 1900
-9.5 30 800 800.006 1900
-9 30 800 800.016 1900
-8.5 30 800 800.042 1900
-8 30 800 800.105 1900
-7.5 30 800 800.248 1900
-7 30 800 800.554 1900
-6.5 30 800 801.173 1900
-6 30 800 802.348 1900
-5.5 30 800 804.448 1900
-5 30 800 807.972 1900
-4.5 30 800 813.513 1900
-4 30 800 821.669 1900
-3.5 30 800 832.87 1900
-3 30 800 847.166 1900
-2.5 30 800 864.022 1900
-2 30 800 882.205 1900
-1.5 30 800 899.85 1900
-1 30 800 914.727 1900
-0.5 30 800 924.697 1900
0 30 800 928.209 1900
0.5 30 800 924.697 1900
1 30 800 914.727 1900
1.5 30 800 899.85 1900
2 30 800 882.205 1900
2.5 30 800 864.022 1900
3 30 800 847.166 1900
3.5 30 800 832.87 1900
4 30 800 821.669 1900
4.5 30 800 813.513 1900
5 30 800 807.972 1900
5.5 30 800 804.448 1900
6 30 800 802.348 1900
6.5 30 800 801.173 1900
7 30 800 800.554 1900
7.5 30 800 800.248 1900
8 30 800 800.105 1900
8.5 30 800 800.042 1900
9 30 800 800.016 1900
9.5 30 800 800.006 1900
10 30 800 800.002 1900
-10 30.5 800 800.003 1900
-9.5 30.5 800 800.008 1900
-9 30.5 800 800.023 1900
-8.5 30.5 800 800.062 1900
-8 30.5 800 800.155 1900
-7.5 30.5 800 800.366 1900
-7 30.5 800 800.818 1900
-6.5 30.5 800 801.732 1900
-6 30.5 800 803.468 1900
-5.5 30.5 800 806.57 1900
-5 30.5 800 811.774 1900
-4.5 30.5 800 819.959 1900
-4 30.5 800 832.005 1900
-3.5 30.5 800 848.548 1900
-3 30.5 800 869.663 1900
-2.5 30.5 800 894.559 1900
-2 30.5 800 921.416 1900
-1.5 30.5 800 947.476 1900
-1 30.5 800 969.449 1900
-0.5 30.5 800 984.175 1900
0 30.5 800 989.363 1900
0.5 30.5 800 984.175 1900
1 30.5 800 969.449 1900
1.5 30.5 800 947.476 1900
2 30.5 800 921.416 1900
2.5 30.5 800 894.559 1900
3 30.5 800 869.663 1900
3.5 30.5 800 848.548 1900
4 30.5 800 832.005 1900
4.5 30.5 800 819.959 1900
5 30.5 800 811.774 1900
5.5 30.5 800 806.57 1900
6 30.5 800 803.468 1900
6.5 30.5 800 801.732 1900
7 30.5 800 800.818 1900
7.5 30.5 800 800.366 1900
8 30.5 800 800.155 1900
8.5 30.5 800 800.062 1900
9 30.5 800 800.023 1900
9.5 30.5 800 800.008 1900
10 30.5 800 800.003 1900
-10 31 800 800.004 1900
-9.5 31 800 800.012 1900
-9 31 800 800.034 1900
-8.5 31 800 800.089 1900
-8 31 800 800.224 1900
-7.5 31 800 800.529 1900
-7 31 800 801.184 1900
-6.5 31 800 802.507 1900
-6 31 800 805.021 1900
-5.5 31 800 809.512 1900
-5 31 800 817.046 1900
-4.5 31 800 828.895 1900
-4 31 800 846.335 1900
-3.5 31 800 870.285 1900
-3 31 800 900.853 1900
-2.5 31 800 936.896 1900
-2 31 800 975.778 1900
-1.5 31 800 1013.51 1900
-1 31 800 1045.32 1900
-0.5 31 800 1066.64 1900
0 31 800 1074.15 1900
0.5 31 800 1066.64 1900
1 31 800 1045.32 1900
1.5 31 800 1013.51 1900
2 31 800 975.778 1900
2.5 31 800 936.896 1900
3 31 800 900.853 1900
3.5 31 800 870.285 1900
4 31 800 846.335 1900
4.5 31 800 828.895 1900
5 31 800 817.046 1900
5.5 31 800 809.512 1900
6 31 800 805.021 1900
6.5 31 800 802.507 1900
7 31 800 801.184 1900
7.5 31 800 800.529 1900
8 31 800 800.224 1900
8.5 31 800 800.089 1900
9 31 800 800.034 1900
9.5 31 800 800.012 1900
10 31 800 800.004 1900
-10 31.5 800 800.006 1900
-9.5 31.5 800 800.017 1900
-9 31.5 800 800.048 1900
-8.5 31.5 800 800.127 1900
-8 31.5 800 800.317 1900
-7.5 31.5 800 800.751 1900
-7 31.5 800 801.681 1900
-6.5 31.5 800 803.558 1900
-6 31.5 800 807.125 1900
-5.5 31.5 800 813.498 1900
